Country,ISO3,Year,UV radiation attributable DALYs ,UV radiation attributable DALYs per 100'000 capita,UV radiation attributable deaths,UV radiation attributable deaths per 100'000 capita
Afghanistan,AFG,2002,11451,48,110,0.46
Albania,ALB,2002,834,27,45,1
Algeria,DZA,2002,19617,61,94,0.29
Andorra,AND,2002,22,29,2,2
Angola,AGO,2002,8446,52,199,1
Antigua and Barbuda,ATG,2002,15,18,0.13,0.15
Argentina,ARG,2002,17991,47,812,2
Armenia,ARM,2002,1109,36,67,2
Australia,AUS,2002,12354,61,1155,6
Austria,AUT,2002,3029,37,241,3
Azerbaijan,AZE,2002,1433,17,48,0.57
Bahamas,BHS,2002,68,21,2,0.55
Bahrain,BHR,2002,233,33,2,0.33
Bangladesh,BGD,2002,55903,37,220,0.15
Barbados,BRB,2002,94,37,3,1
Belarus,BLR,2002,3936,40,265,3
Belgium,BEL,2002,3304,32,257,2
Belize,BLZ,2002,38,14,1,0.48
Benin,BEN,2002,3453,45,50,0.65
Bhutan,BTN,2002,881,139,5,0.75
Bolivia (Plurinational State of),BOL,2002,4923,55,212,2
Bosnia and Herzegovina,BIH,2002,1156,31,53,1
Botswana,BWA,2002,923,51,9,0.48
Brazil,BRA,2002,67854,37,2643,1
Brunei Darussalam,BRN,2002,197,54,0.62,0.17
Bulgaria,BGR,2002,2698,35,179,2
Burkina Faso,BFA,2002,5673,43,27,0.2
Burundi,BDI,2002,3407,48,58,0.81
Cabo Verde,CPV,2002,280,60,5,0.98
Cambodia,KHM,2002,1978,14,20,0.15
Cameroon,CMR,2002,11126,64,356,2
Canada,CAN,2002,10886,34,802,3
Central African Republic,CAF,2002,2414,60,45,1
Chad,TCD,2002,5026,52,84,0.86
Chile,CHL,2002,6758,42,291,2
China,CHN,2002,325397,25,5879,0.45
Colombia,COL,2002,11890,28,290,0.68
Comoros,COM,2002,422,70,5,0.87
Congo,COG,2002,1784,53,31,0.93
Cook Islands,COK,2002,5,24,0.11,0.61
Costa Rica,CRI,2002,1654,39,92,2
Côte d'Ivoire,CIV,2002,8472,45,94,0.5
Croatia,HRV,2002,2357,53,196,4
Cuba,CUB,2002,5071,45,271,2
Cyprus,CYB,2002,418,51,11,1
Czechia,CZE,2002,4425,43,372,4
Democratic People's Republic of Korea,PRK,2002,5670,24,22,0.1
Democratic Republic of the Congo,COD,2002,26918,47,338,0.59
Denmark,DNK,2002,2807,52,226,4
Djibouti,DJI,2002,458,58,6,0.73
Dominica,DMA,2002,13,20,0.01,0.01
Dominican Republic,DOM,2002,2145,23,64,0.68
Ecuador,ECU,2002,5558,43,98,0.76
Egypt,EGY,2002,27069,36,55,0.07
El Salvador,SLV,2002,1444,24,36,0.6
Equatorial Guinea,GNQ,2002,317,53,6,0.99
Eritrea,ERI,2002,2144,50,26,0.6
Estonia,EST,2002,538,40,45,3
Eswatini,SWZ,2002,784,70,35,3
Ethiopia,ETH,2002,37508,52,504,0.69
Fiji,FJI,2002,199,24,4,0.48
Finland,FIN,2002,1772,34,155,3
France,FRA,2002,19540,32,1442,2
Gabon,GAB,2002,1060,79,40,3
Gambia,GMB,2002,848,57,7,0.48
Georgia,GEO,2002,1337,30,87,2
Germany,DEU,2002,28317,34,2257,3
Ghana,GHA,2002,12148,57,171,0.8
Greece,GIB,2002,3562,32,316,3
Grenada,GRL,2002,17,17,0.32,0.31
Guatemala,GTM,2002,3882,31,36,0.29
Guinea,GIN,2002,4659,52,58,0.65
Guinea-Bissau,GNB,2002,811,56,13,0.91
Guyana,GUY,2002,143,19,1,0.18
Haiti,HTI,2002,2286,25,8,0.09
Honduras,HND,2002,1407,21,34,0.5
Hungary,HUN,2002,4769,47,372,4
Iceland,ISL,2002,43,15,4,1
India,IND,2002,516684,46,1961,0.18
Indonesia,IDN,2002,143642,66,1013,0.47
Iran (Islamic Republic of),IRN,2002,29026,41,697,1
Iraq,IRQ,2002,10153,37,79,0.29
Ireland,IRL,2002,1137,28,85,2
Israel,ISR,2002,2198,33,181,3
Italy,ITA,2002,21844,37,1754,3
Jamaica,JAM,2002,540,20,14,0.52
Japan,JPN,2002,23064,18,1414,1
Jordan,JOR,2002,1991,37,30,0.56
Kazakhstan,KAZ,2002,4731,31,278,2
Kenya,KEN,2002,16519,47,204,0.58
Kiribati,KIR,2002,22,24,0.4,0.44
Kuwait,KWT,2002,797,30,5,0.2
Kyrgyzstan,KGZ,2002,1076,21,47,0.91
Lao People's Democratic Republic,LAO,2002,926,16,15,0.26
Latvia,LVA,2002,1007,44,83,4
Lebanon,LBN,2002,1289,32,16,0.4
Lesotho,LSO,2002,131,7,15,0.74
Liberia,LBR,2002,1990,62,57,2
Libya,LBY,2002,2181,38,36,0.63
Lithuania,LTU,2002,1327,39,97,3
Luxembourg,LUX,2002,164,36,12,3
Madagascar,MDG,2002,10086,59,0,0
Malawi,MWI,2002,6620,50,138,1
Malaysia,MYS,2002,15733,62,102,0.41
Maldives,MDV,2002,391,136,4,1
Mali,MLI,2002,853,7,39,0.34
Malta,MLT,2002,123,31,8,2
Marshall Islands,MHL,2002,15,28,0.43,0.78
Mauritania,MRT,2002,1673,58,27,0.92
Mauritius,MUS,2002,1077,87,3,0.27
